sku,product_name,location,quantity_before,quantity_after,quantity_diff,last_counted,change_type
SKU-025,VGA Cable,Warehouse B,50.0,,,2024-01-08,removed
SKU-026,DVI Cable,Warehouse B,35.0,,,2024-01-08,removed
SKU-001,Widget A,Warehouse A,150.0,145.0,-5.0,2024-01-15,decreased
SKU-002,Widget B,Warehouse A,75.0,70.0,-5.0,2024-01-15,decreased
SKU-003,Gadget Pro,Warehouse B,200.0,185.0,-15.0,2024-01-15,decreased
SKU-004,Gadget Lite,Warehouse A,50.0,48.0,-2.0,2024-01-15,decreased
SKU-005,Connector Cable 6ft,Warehouse C,500.0,480.0,-20.0,2024-01-15,decreased
SKU-008,Power Supply Unit Pro,Warehouse A,45.0,42.0,-3.0,2024-01-15,decreased
SKU-009,Mounting Bracket Small,Warehouse B,1000.0,975.0,-25.0,2024-01-15,decreased
SKU-010,Mounting Bracket Large,Warehouse B,750.0,720.0,-30.0,2024-01-15,decreased
SKU-011,LED Panel 12x12,Warehouse A,120.0,115.0,-5.0,2024-01-15,decreased
SKU-012,LED Panel 24x24,Warehouse A,90.0,85.0,-5.0,2024-01-15,decreased
SKU-013,Thermal Paste Tube,Warehouse C,2000.0,1850.0,-150.0,2024-01-15,decreased
SKU-014,Cooling Fan 80mm,Warehouse B,300.0,290.0,-10.0,2024-01-15,decreased
SKU-015,Cooling Fan 120mm,Warehouse B,250.0,245.0,-5.0,2024-01-15,decreased
SKU-016,USB Hub 4-Port,Warehouse A,180.0,165.0,-15.0,2024-01-15,decreased
SKU-017,USB Hub 7-Port,Warehouse A,95.0,88.0,-7.0,2024-01-15,decreased
SKU-018,Ethernet Cable Cat5,Warehouse C,800.0,750.0,-50.0,2024-01-15,decreased
SKU-019,Ethernet Cable Cat6,Warehouse C,600.0,580.0,-20.0,2024-01-15,decreased
SKU-020,Ethernet Cable Cat6a,Warehouse C,400.0,390.0,-10.0,2024-01-15,decreased
SKU-021,HDMI Cable 3ft,Warehouse A,450.0,425.0,-25.0,2024-01-15,decreased
SKU-022,HDMI Cable 6ft,Warehouse A,380.0,365.0,-15.0,2024-01-15,decreased
SKU-023,HDMI Cable 10ft,Warehouse A,220.0,210.0,-10.0,2024-01-15,decreased
SKU-024,DisplayPort Cable,Warehouse A,175.0,170.0,-5.0,2024-01-15,decreased
SKU-027,Audio Cable 3.5mm,Warehouse C,600.0,575.0,-25.0,2024-01-15,decreased
SKU-028,Audio Cable RCA,Warehouse C,400.0,385.0,-15.0,2024-01-15,decreased
SKU-029,Optical Audio Cable,Warehouse C,150.0,145.0,-5.0,2024-01-15,decreased
SKU-030,Surge Protector 6-Outlet,Warehouse A,200.0,188.0,-12.0,2024-01-15,decreased
SKU-031,Surge Protector 12-Outlet,Warehouse A,120.0,112.0,-8.0,2024-01-15,decreased
SKU-032,Extension Cord 10ft,Warehouse B,300.0,285.0,-15.0,2024-01-15,decreased
SKU-033,Extension Cord 25ft,Warehouse B,180.0,172.0,-8.0,2024-01-15,decreased
SKU-034,Power Strip,Warehouse A,250.0,240.0,-10.0,2024-01-15,decreased
SKU-035,Cable Ties 100pk,Warehouse C,1500.0,1420.0,-80.0,2024-01-15,decreased
SKU-036,Cable Ties 500pk,Warehouse C,400.0,385.0,-15.0,2024-01-15,decreased
SKU-037,Velcro Straps 50pk,Warehouse C,800.0,765.0,-35.0,2024-01-15,decreased
SKU-038,Label Maker,Warehouse A,25.0,22.0,-3.0,2024-01-15,decreased
SKU-039,Label Tape,Warehouse A,200.0,185.0,-15.0,2024-01-15,decreased
SKU-040,Screwdriver Set,Warehouse B,150.0,142.0,-8.0,2024-01-15,decreased
SKU-041,Precision Screwdriver Set,Warehouse B,100.0,95.0,-5.0,2024-01-15,decreased
SKU-042,Wire Stripper,Warehouse B,75.0,70.0,-5.0,2024-01-15,decreased
SKU-043,Crimping Tool,Warehouse B,60.0,58.0,-2.0,2024-01-15,decreased
SKU-044,Multimeter Basic,Warehouse A,40.0,35.0,-5.0,2024-01-15,decreased
SKU-045,Multimeter Pro,Warehouse A,25.0,23.0,-2.0,2024-01-15,decreased
SKU-046,Soldering Iron,Warehouse B,35.0,32.0,-3.0,2024-01-15,decreased
SKU-047,Solder Wire,Warehouse B,300.0,280.0,-20.0,2024-01-15,decreased
SKU-048,Heat Shrink Tubing,Warehouse C,500.0,475.0,-25.0,2024-01-15,decreased
SKU-049,Electrical Tape,Warehouse C,800.0,760.0,-40.0,2024-01-15,decreased
SKU-050,Anti-Static Wrist Strap,Warehouse A,200.0,190.0,-10.0,2024-01-15,decreased
SKU-051,Anti-Static Mat,Warehouse A,50.0,48.0,-2.0,2024-01-15,decreased
SKU-052,Compressed Air Can,Warehouse C,400.0,375.0,-25.0,2024-01-15,decreased
SKU-053,Isopropyl Alcohol 99%,Warehouse C,150.0,140.0,-10.0,2024-01-15,decreased
SKU-054,Microfiber Cloth 10pk,Warehouse C,300.0,285.0,-15.0,2024-01-15,decreased
SKU-055,Screen Cleaner,Warehouse C,250.0,235.0,-15.0,2024-01-15,decreased
SKU-056,Keyboard Cleaner Gel,Warehouse C,180.0,168.0,-12.0,2024-01-15,decreased
SKU-057,Monitor Stand,Warehouse A,45.0,42.0,-3.0,2024-01-15,decreased
SKU-058,Laptop Stand,Warehouse A,60.0,58.0,-2.0,2024-01-15,decreased
SKU-059,Tablet Stand,Warehouse A,80.0,75.0,-5.0,2024-01-15,decreased
SKU-060,Phone Stand,Warehouse A,120.0,115.0,-5.0,2024-01-15,decreased
SKU-061,Desk Organizer,Warehouse B,90.0,85.0,-5.0,2024-01-15,decreased
SKU-062,Cable Management Box,Warehouse B,110.0,105.0,-5.0,2024-01-15,decreased
SKU-063,Headphone Hook,Warehouse B,200.0,192.0,-8.0,2024-01-15,decreased
SKU-064,Webcam Mount,Warehouse A,75.0,72.0,-3.0,2024-01-15,decreased
SKU-065,Ring Light 10in,Warehouse A,40.0,38.0,-2.0,2024-01-15,decreased
SKU-066,Ring Light 18in,Warehouse A,25.0,22.0,-3.0,2024-01-15,decreased
SKU-067,Tripod Small,Warehouse B,55.0,52.0,-3.0,2024-01-15,decreased
SKU-068,Tripod Large,Warehouse B,35.0,33.0,-2.0,2024-01-15,decreased
SKU-069,Green Screen,Warehouse A,20.0,18.0,-2.0,2024-01-15,decreased
SKU-070,Backdrop Stand,Warehouse A,15.0,12.0,-3.0,2024-01-15,decreased
SKU-071,USB Microphone,Warehouse A,30.0,28.0,-2.0,2024-01-15,decreased
SKU-072,XLR Microphone,Warehouse A,20.0,18.0,-2.0,2024-01-15,decreased
SKU-073,Pop Filter,Warehouse B,100.0,95.0,-5.0,2024-01-15,decreased
SKU-074,Boom Arm,Warehouse B,45.0,42.0,-3.0,2024-01-15,decreased
SKU-075,Shock Mount,Warehouse B,40.0,38.0,-2.0,2024-01-15,decreased
SKU-076,Stream Deck Mini,Warehouse A,,15.0,,2024-01-15,added
SKU-077,Stream Deck XL,Warehouse A,,8.0,,2024-01-15,added
SKU-078,Capture Card,Warehouse A,,12.0,,2024-01-15,added
SKU-079,USB-C Hub,Warehouse A,,45.0,,2024-01-15,added
SKU-080,Thunderbolt Cable,Warehouse A,,30.0,,2024-01-15,added
SKU-006,Connector Cable 10ft,Warehouse C,350.0,350.0,0.0,2024-01-15,unchanged
SKU-007,Power Supply Unit,Warehouse A,80.0,80.0,0.0,2024-01-15,unchanged
